Masa muestra;;;9,5128;2,6;;;;EDTA blended;;;;;;9.5 mL buffer 1 M;;
;;;4,540169069;4,586029362;;;;Tip de 5000 uL con punta de 10 uL incolora;;;;;;220 uL tartrato 1M;;
masa;potencial;;;0,48209038;4,5849;0,999753739;;electrodo de referencia doble con adaptaci’on de altura;;;;;;;;
0;-154;;;;;;;Potencial medido con titrino plus 848;;;;;;;;
4,5571;-196,5;;4557,1;-0,009326107;;;;agitador en velocidad 8;;;;;;;;
4,5727;-208,4;;15,6;-0,762820513;;;;;;;;;;;;150,0878
4,5765;-215;;3,8;-1,736842105;;;;;;;;;;;;1.501.491
4,5806;-226,9;;4,1;-2,902439024;;;;;;;;;;;;133,0613
4,5849;-245;;4,3;-4,209302326;;;;;;;;;;;;
4,589;-249,6;;4,1;-1,12195122;;;;;;;;;;;;
4,6044;-253,5;;15,4;-0,253246753;;;;;;;;;;;;
4,6199;-254,8;;15,5;-0,083870968;;;;;;;;;;;;
