Masa muestra;;;9,5246;2,6;;;;EDTA trazable;;;;;;9.5 mL buffer 1 M;;
;;;4,550436;4,5964;;;;Tip de 5000 uL con punta de 10 uL incolora;;;;;;220 uL tartrato 1M;;
masa;potencial;;;0,482581946;4,5964;1;;electrodo de referencia doble con adaptaci’on de altura;;;;;;;;
0;-174;;;;;;;Potencial medido con titrino plus 848;;;;;;;;
4,5049;-192;;4504,9;-0,003995649;;;;agitador en velocidad 8;;;;;;;;
4,5355;-195,6;;30,6;-0,117647059;;;;;;;;;;;;150,0878
4,5561;-199,8;;20,6;-0,203883495;;;;;;;;;;;;1.501.491
4,5669;-203,1;;10,8;-0,305555556;;;;;;;;;;;;133,0613
4,5705;-204,9;;3,6;-0,5;;;;;;;;;;;;
4,5747;-206,8;;4,2;-0,452380952;;;;;;;;;;;;
4,5784;-209;;3,7;-0,594594595;;;;;;;;;;;;
4,5823;-211,8;;3,9;-0,717948718;;;;;;;;;;;;
4,5849;-214,6;;2,6;-1,076923077;;;;;;;;;;;;
4,5886;-219,8;;3,7;-1,405405405;;;;;;;;;;;;
4,5924;-227,4;;3,8;-2;;;;;;;;;;;;
4,5964;-242,6;;4;-3,8;;;;;;;;;;;;
4,6008;-248,6;;4,4;-1,363636364;;;;;;;;;;;;
4,6061;-250,3;;5,3;-0,320754717;;;;;;;;;;;;
4,6175;-251,8;;11,4;-0,131578947;;;;;;;;;;;;
4,6389;-252,7;;21,4;-0,042056075;;;;;;;;;;;;
