Masa muestra;;;9,5999;2,6;;;;EDTA trazable;;;;;;9.5 mL buffer 1 M;;
;;;4,586411036;4,632738421;;;;Tip de 5000 uL con punta de 10 uL incolora;;;;;;220 uL tartrato 1M;;
masa;potencial;;;0,482581946;4,6335;1,000164391;;electrodo de referencia doble con adaptaci’on de altura;;;;;;;;
0;-160;;;;;;;Potencial medido con titrino plus 848;;;;;;;;
4,5768;-191,2;;4576,8;-0,00681699;;;;agitador en velocidad 8;;;;;;;;
4,587;-194,2;;10,2;-0,294117647;;;;;;;;;;;;150,0878
4,5977;-197,4;;10,7;-0,299065421;;;;;;;;;;;;1.501.491
4,6077;-201,2;;10;-0,38;;;;;;;;;;;;133,0613
4,617;-206,6;;9,3;-0,580645161;;;;;;;;;;;;
4,6234;-213,1;;6,4;-1,015625;;;;;;;;;;;;
4,6283;-221,1;;4,9;-1,632653061;;;;;;;;;;;;
4,6335;-237,2;;5,2;-3,096153846;;;;;;;;;;;;
4,6375;-244,7;;4;-1,875;;;;;;;;;;;;
4,6411;-246,3;;3,6;-0,444444444;;;;;;;;;;;;
4,6516;-248,7;;10,5;-0,228571429;;;;;;;;;;;;
4,6732;-250,2;;21,6;-0,069444444;;;;;;;;;;;;
