Masa muestra;;;9,4973;2,6;;;;EDTA trazable;;;;;;9.5 mL buffer 1 M;;
;;;4,537393258;4,583225513;;;;Tip de 5000 uL con punta de 10 uL incolora;;;;;;220 uL tartrato 1M;;
masa;potencial;;;0,482581946;4,5841;1,000190802;;electrodo de referencia doble con adaptaci’on de altura;;;;;;;;
0;-159;;;;;;;Potencial medido con titrino plus 848;;;;;;;;
4,5349;-191,1;;4534,9;-0,007078436;;;;agitador en velocidad 8;;;;;;;;
4,5458;-194,8;;10,9;-0,339449541;;;;;;;;;;;;150,0878
4,5571;-199,4;;11,3;-0,407079646;;;;;;;;;;;;1.501.491
4,5684;-207,7;;11,3;-0,734513274;;;;;;;;;;;;133,0613
4,5752;-218,3;;6,8;-1,558823529;;;;;;;;;;;;
4,5799;-230,1;;4,7;-2,510638298;;;;;;;;;;;;
4,5841;-244,5;;4,2;-3,428571429;;;;;;;;;;;;
4,5903;-249,3;;6,2;-0,774193548;;;;;;;;;;;;
4,6026;-251,7;;12,3;-0,195121951;;;;;;;;;;;;
4,6138;-252;;11,2;-0,026785714;;;;;;;;;;;;
